ClassName,Attribute,DataType,Version,Notes
AdverseEvent,categoryCode,"CD",3.0.3,"DEFINITION: A coded value specifying a classification of the adverse event. EXAMPLE(S): bleeding hypoglycemia OTHER NAME(S): NOTE(S): Theoretically speaking the category should be derivable from the subcategory however if there may only be a category and not a subcategory then both attributes must be present in the model. "
AdverseEvent,expectedIndicator,"BL",3.0.3,"DEFINITION: Specifies whether the specificity (nature) frequency or severity of an adverse event is consistent with the applicable study documentation (e.g. investigator's brochure protocol document or consent document) or product labeling (package insert). EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,gradeCode,"CD",3.0.3,"DEFINITION: A coded value specifying the level of injury suffered by the subject for whom the event is reported. EXAMPLE(S): The gradeCode could be 3 if the CTCAE coding system is being used. OTHER NAME(S): NOTE(S):"
AdverseEvent,highlightedIndicator,"BL",3.0.3,"DEFINITION: Specifies whether the adverse event or reaction term is a major concern or reason for reporting the adverse event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,hospitalizationRequiredIndicator,"BL",3.0.3,"DEFINITION: Specifies whether the subject requires hospitalization or prolongation of existing hospitalization as a result of the adverse event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,locationDescription,"ST",3.0.3,"DEFINITION: The textual representation of the physical location of the subject when the adverse event began. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,occurrencePatternCode,"CD",3.0.3,"DEFINITION: A coded value specifying the time recurrence by which an adverse event occurs. EXAMPLE(S): intermittent continuous single event OTHER NAME(S): NOTE(S):"
AdverseEvent,postReportUpdateDate,"TS.DATETIME",3.0.3,"DEFINITION: The date (and time) on which the adverse event was updated after it had been submitted. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,severityCode,"CD",3.0.3,"DEFINITION: A coded value specifying the intensity of the event. EXAMPLE(S): Moderate could be used to describe acne. OTHER NAME(S): NOTE(S):"
AdverseEvent,subcategoryCode,"CD",3.0.3,"DEFINITION: A coded value specifying a subdivision within a larger category of an adverse event. EXAMPLE(S): neurologic OTHER NAME(S): NOTE(S): Theoretically speaking the category should be derivable from the subcategory however if there may only be a category and not a subcategory then both attributes must be present in the model. "
AdverseEvent,summary,"ST",3.0.3,"DEFINITION: A description of the adverse event and the treatment of the event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,unexpectedReasonCode,"DSET<CD>",3.0.3,"DEFINITION: A coded value specifying the representation of the criteria for determining whether an adverse event (experience or reaction) is considered unanticipated. EXAMPLE(S): severity frequency or specificity from what has been previously documented OTHER NAME(S): NOTE(S):"
AdverseEventActionTakenRelationship,delayDuration,"PQ.TIME",3.0.3,"DEFINITION: The time delay between the adverse event and the action taken. EXAMPLE(S): OTHER NAME(S): NOTE(S): Derived from the difference between the AdverseEvent.onsetDate and the start of the PerformedActivity that is the action taken."
AdverseEventSeriousness,code,"CD",3.0.3,"DEFINITION: A coded value specifying the degree or extent of the consequence suffered by the subject. EXAMPLE(S): resulted in death required hospitalization was life threatening OTHER NAME(S): NOTE(S):"
AdverseEventSeriousness,date,"TS.DATETIME",3.0.3,"DEFINITION: The date (and time) on which the seriousness code was assigned to the adverse event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
EvaluatedActivityRelationship,probabilityCode,"CD",3.0.3,"DEFINITION: A coded value specifying the likelihood of the identified cause of an adverse event. EXAMPLE(S): unrelated unlikely possible probable definite (for adverse events in respect to CTEP and FAET) related possibly related unlikely related not related (for adverse events in respect to SDTM &amp; E2B) OTHER NAME(S): NOTE(S):"
EvaluatedActivityRelationship,probabilityPercent,"REAL",3.0.3,"DEFINITION: A number representing the likelihood of the identified cause of an adverse event. EXAMPLE(S): 60% likelihood that an adverse event was caused by an activity that was performed on the subject. OTHER NAME(S): NOTE(S):"
EvaluatedActivityRelationship,uncertaintyCode,"CD",3.0.3,"DEFINITION: A coded value specifying whether and to what degree this evaluation or observation has been asserted to be in doubt in any way. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
EvaluatedResultRelationship,probabilityCode,"CD",3.0.3,"DEFINITION: A coded value specifying the likelihood of the identified cause of an adverse event. EXAMPLE(S): unrelated unlikely possible probable definite (for adverse events in respect to CTEP and FAET) related possibly related unlikely related not related (for adverse events in respect to SDTM &amp; E2B) OTHER NAME(S): NOTE(S):"
EvaluatedResultRelationship,probabilityPercent,"REAL",3.0.3,"DEFINITION: A number representing the likelihood of the identified cause of an adverse event. EXAMPLE(S): 60% likelihood that an adverse event was caused by the evaluated result of diabetes. OTHER NAME(S): NOTE(S):"
EvaluatedResultRelationship,uncertaintyCode,"CD",3.0.3,"DEFINITION: A coded value specifying whether and to what degree this evaluation or observation has been asserted to be in doubt in any way. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
PerformedProductInvestigationResult,conclusion,"ST",3.0.3,"DEFINITION: A text or otherwise formatted description of the final results drawn from the investigation. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
