ClassNameA,ConnectorType,ClassNameB,RelationshipName,Version,Notes,EAConnectorType
AdverseEvent,ASSOCIATION_WITH,AdverseEventActionTakenRelationship,'is triggered by',3.0.3,"DEFINITION: Each AdverseEventActionTakenRelationship always is triggered by one AdverseEvent. Each AdverseEvent sometimes triggers one or more AdverseEventActionTakenRelationship.","Association"
AdverseEvent,ASSOCIATION_WITH,AdverseEventOutcomeAssessment,'is triggered by',3.0.3,"DEFINITION: Each AdverseEventOutcomeAssessment always is triggered by one AdverseEvent. Each AdverseEvent sometimes triggers one or more AdverseEventOutcomeAssessment.","Association"
AdverseEvent,DESCENDENT_OF,PerformedMedicalConditionResult,'specializes',3.0.3,"DEFINITION: Each AdverseEvent always specializes one PerformedMedicalConditionResult. Each PerformedMedicalConditionResult sometimes is specialized by one AdverseEvent.","Generalization"
AdverseEvent,ASSOCIATION_WITH,AdverseEventSeriousness,'describes',3.0.3,"DEFINITION: Each AdverseEventSeriousness always describes one AdverseEvent. Each AdverseEvent sometimes is described by one or more AdverseEventSeriousness.","Association"
AdverseEvent,ASSOCIATION_WITH,CausalAssessment,'is triggered by',3.0.3,"DEFINITION: Each CausalAssessment always is triggered by one AdverseEvent. Each AdverseEvent sometimes triggers one or more CausalAssessment.","Association"
AdverseEvent,ASSOCIATION_WITH,PerformedProductInvestigation,'is triggered by',3.0.3,"DEFINITION: Each PerformedProductInvestigation always is triggered by one AdverseEvent. Each AdverseEvent sometimes triggers one or more PerformedProductInvestigation. ","Association"
AdverseEvent,ASSOCIATION_WITH,SafetyReportVersion,'describes',3.0.3,"DEFINITION: Each SafetyReportVersion sometimes describes one or more AdverseEvent. Each AdverseEvent always is described by one or more SafetyReportVersion.","Association"
AdverseEventOutcomeAssessment,DESCENDENT_OF,PerformedObservation,'specializes',3.0.3,"DEFINITION: Each AdverseEventOutcomeAssessment always specializes one PerformedObservation. Each AdverseEventOutcomeAssessment sometimes is specialized by one PerformedObservation.","Generalization"
AdverseEventOutcomeResult,DESCENDENT_OF,PerformedObservationResult,'specializes',3.0.3,"DEFINITION: Each AdverseEventOutcomeResult always specializes one PerformedObservationResult. Each PerformedObservationResult sometimes is specialized by one AdverseEventOutcomeResult.","Generalization"
CausalAssessment,DESCENDENT_OF,PerformedObservation,'specializes',3.0.3,"DEFINITION: Each CausalAssessment always specializes one PerformedObservation. Each PerformedObservation sometimes is specialized by one CausalAssessment.","Generalization"
CausalAssessment,ASSOCIATION_WITH,EvaluatedActivityRelationship,'is evaluated by',3.0.3,"DEFINITION: Each EvaluatedActivityRelationship always is evaluated by one CausalAssessment. Each CausalAssessment sometimes evaluates one or more EvaluatedActivityRelationship.","Association"
CausalAssessment,ASSOCIATION_WITH,EvaluatedResultRelationship,'is evaluated by',3.0.3,"DEFINITION: Each EvaluatedResultRelationship always is evaluated by one CausalAssessment. Each CausalAssessment sometimes evaluates one or more EvaluatedResultRelationship.","Association"
PerformedProductInvestigation,DESCENDENT_OF,PerformedObservation,'specializes',3.0.3,"DEFINITION: Each PerformedProductInvestigation always specializes one PerformedObservation. Each PerformedObservation sometimes is specialized by one PerformedProductInvestigation.","Generalization"
PerformedProductInvestigationResult,DESCENDENT_OF,PerformedObservationResult,'specializes',3.0.3,"DEFINITION: Each PerformedProductInvestigationResult always specializes one PerformedObservationResult. Each PerformedObservationResult sometimes is specialized by one PerformedProductInvestigationResult.","Generalization"
PerformedProductInvestigationResult,ASSOCIATION_WITH,ProductActionTakenRelationship,'is triggered by',3.0.3,"DEFINITION: Each ProductActionTakenRelationship always is triggered by one PerformedProductInvestigationResult. Each PerformedProductInvestigationResult sometimes triggers one or more ProductActionTakenRelationship.","Association"
PerformedProductProblemDiscovery,ASSOCIATION_WITH,PerformedProductInvestigation,'is triggered by',3.0.3,"DEFINITION: Each PerformedProductInvestigation always is triggered by one or more PerformedProductProblemDiscovery. Each PerformedProductProblemDiscovery sometimes triggers one or more PerformedProductInvestigation.","Association"
PerformedProductProblemDiscovery,DESCENDENT_OF,PerformedObservationResult,'specializes',3.0.3,"DEFINITION: Each PerformedProductProblemDiscovery always specializes one PerformedObservationResult. Each PerformedObservationResult sometimes is specialized by one PerformedProductProblemDiscovery.","Generalization"
PerformedProductProblemDiscovery,ASSOCIATION_WITH,SafetyReportVersion,'describes',3.0.3,"DEFINITION: Each SafetyReportVersion sometimes describes one or more PerformedProductProblemDiscovery. Each PerformedProductProblemDiscovery always is described by one or more SafetyReportVersion.","Association"
SafetyReportVersion,ASSOCIATION_WITH,PerformedObservation,'is commenting on',3.0.3,"DEFINITION: Each PerformedObservation sometimes is commenting on one SafetyReportVersion. Each SafetyReportVersion sometimes is commented on by one or more PerformedObservation.","Association"
SafetyReportVersion,ASSOCIATION_WITH,ReportSubmitter,'submits',3.0.3,"DEFINITION: Each ReportSubmitter always submits one SafetyReportVersion. Each SafetyReportVersion always is submitted by one or more ReportSubmitter.","Association"
SafetyReportVersion,DESCENDENT_OF,ReportVersion,'specializes',3.0.3,"DEFINITION: Each SafetyReportVersion always specializes one ReportVersion. Each ReportVersion sometimes is specialized by one SafetyReportVersion.","Generalization"
Activity,ANCESTOR_TO,DefinedActivity,'specializes',3.0.3,"DEFINITION: Each DefinedActivity always specializes one Activity. Each Activity sometimes is specialized by one DefinedActivity.","Generalization"
Activity,ANCESTOR_TO,PerformedActivity,'specializes',3.0.3,"DEFINITION: Each PerformedActivity always specializes one Activity. Each Activity sometimes is specialized by one PerformedActivity.","Generalization"
Activity,ASSOCIATION_WITH,Performer,'performs',3.0.3,"DEFINITION: Each Performer always performs one or more Activity. Each Activity sometimes is performed by one or more Performer.","Association"
Activity,ANCESTOR_TO,PlannedActivity,'specializes',3.0.3,"DEFINITION: Each PlannedActivity always specializes one Activity. Each Activity sometimes is specialized by one PlannedActivity.","Generalization"
Activity,ANCESTOR_TO,ScheduledActivity,'specializes',3.0.3,"DEFINITION: Each ScheduledActivity always specializes one Activity. Each Activity sometimes is specialized by one ScheduledActivity.","Generalization"
Animal,DESCENDENT_OF,BiologicEntity,'specializes',3.0.3,"DEFINITION: Each Animal always specializes one BiologicEntity. Each BiologicEntity sometimes is specialized by one Animal.","Generalization"
AssociatedBiologicEntity,ASSOCIATION_WITH,Assessor,'is a function performed by',3.0.3,"DEFINITION: Each Assessor sometimes is a function performed by one AssociatedBiologicEntity. Each AssociatedBiologicEntity sometimes functions as one or more Assessor.","Association"
AssociatedBiologicEntity,ASSOCIATION_WITH,DocumentAuthor,'is a function performed by',3.0.3,"DEFINITION: Each DocumentAuthor sometimes is a function performed by one AssociatedBiologicEntity. Each AssociatedBiologicEntity sometimes functions as one or more DocumentAuthor.","Association"
Biologic,DESCENDENT_OF,Product,'specializes',3.0.3,"DEFINITION: Each Biologic always specializes one Product. Each Product sometimes is specialized by one Biologic.","Generalization"
BiologicEntity,ANCESTOR_TO,Animal,'specializes',3.0.3,"DEFINITION: Each Animal always specializes one BiologicEntity. Each BiologicEntity sometimes is specialized by one Animal.","Generalization"
