ClassNameA,ConnectorType,ClassNameB,RelationshipName,Version,Notes,EAConnectorType
AdverseEvent,ASSOCIATION_WITH,AdverseEventOutcomeAssessment,'is triggered by',5.2,"DESCRIPTION: Each AdverseEventOutcomeAssessment always is triggered by one AdverseEvent. Each AdverseEvent might trigger one or more AdverseEventOutcomeAssessment. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEvent,DESCENDENT_OF,PerformedObservationResult,'specializes',5.2,"DESCRIPTION: Each AdverseEvent always specializes one PerformedObservationResult. Each PerformedObservationResult might be specialized by one AdverseEvent. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
AdverseEvent,ASSOCIATION_WITH,AdverseEventSeriousness,'describes',5.2,"DESCRIPTION: Each AdverseEventSeriousness always describes one AdverseEvent. Each AdverseEvent might be described by one or more AdverseEventSeriousness. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEvent,ASSOCIATION_WITH,CausalAssessment,'is triggered by',5.2,"DESCRIPTION: Each CausalAssessment always is triggered by one AdverseEvent. Each AdverseEvent might trigger one or more CausalAssessment. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEvent,ASSOCIATION_WITH,PerformedProductInvestigation,'is triggered by',5.2,"DESCRIPTION: Each PerformedProductInvestigation always is triggered by one AdverseEvent. Each AdverseEvent might trigger one or more PerformedProductInvestigation. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEvent,ASSOCIATION_WITH,SafetyReportVersion,'describe',5.2,"DESCRIPTION: Each SafetyReportVersion might describe one or more AdverseEvent. Each AdverseEvent might be described by one or more SafetyReportVersion. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEventOutcomeAssessment,DESCENDENT_OF,PerformedObservation,'specializes',5.2,"DESCRIPTION: Each AdverseEventOutcomeAssessment always specializes one PerformedObservation. Each PerformedObservation might be specialized by one AdverseEventOutcomeAssessment. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S):","Generalization"
AdverseEventOutcomeResult,DESCENDENT_OF,PerformedObservationResult,'specializes',5.2,"DESCRIPTION: Each AdverseEventOutcomeResult always specializes one PerformedObservationResult. Each PerformedObservationResult might be specialized by one AdverseEventOutcomeResult. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
AdverseEventSeriousness,DESCENDENT_OF,PerformedClinicalInterpretation,'specializes',5.2,"DESCRIPTION: Each AdverseEventSeriousness always specializes one PerformedClinicalInterpretation. Each PerformedClinicalInterpretation might be specialized by one or more AdverseEventSeriousness. DEFINITION: Specifies the degree or extent of the consequence suffered by the subject. EXAMPLE(S): resulted in death required hospitalization was life threatening OTHER NAME(S): NOTE(S): While often not reported as a separate observation seriousness codes are technically the result of assessing the subject and the adverse event they are experiencing. The association to the AdverseEvent should theoretically be derivable via the following path: AdverseEventSeriousness &gt; PerformedObservation [assess seriousness] &gt; AssessedResultRelationship &gt; AdverseEvent. However since this information is often not available AdverseEventSeriousness has been modeled as both a subclass of PerformedClinicalInterpretation and as having an association directly to the AdverseEvent class. ","Generalization"
CausalAssessment,DESCENDENT_OF,PerformedObservation,'specializes',5.2,"DESCRIPTION: Each CausalAssessment always specializes one PerformedObservation. Each PerformedObservation might be specialized by one CausalAssessment. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
