ClassName,SubdomainName,Version,Notes
AdverseEvent,Adverse Event Sub-Domain,5.2,"DEFINITION: Any unfavorable and unintended sign symptom disease or other medical occurrence with a temporal association with the use of a medical product procedure or other therapy or in conjunction with a research study regardless of causal relationship. EXAMPLE(S): death back pain headache pulmonary embolism heart attack OTHER NAME(S): NOTE(S): The BRIDG SCC has a GForge Tracker Issue (#31893) indicating a need to validate the requirement that every AdverseEvent be described by a SafetyReportVersion."
AdverseEventOutcomeAssessment,Adverse Event Sub-Domain,5.2,"DEFINITION: The completed action of evaluating the final state of a subject who experienced an adverse event which takes place after the adverse event occurs. EXAMPLE(S): OTHER NAME(S): NOTE(S): The final state can occur at any point in the study if the adverse event resolves otherwise it occurs at the final visit."
AdverseEventOutcomeResult,Adverse Event Sub-Domain,5.2,"DEFINITION: The result of evaluating the final state of a person who experienced an adverse event. EXAMPLE(S): Recovered/Resolved Recovering/Resolving Not Recovered/Not Resolved Recovered/Resolved with Sequelae Fatal Unknown OTHER NAME(S): NOTE(S):"
AdverseEventSeriousness,Adverse Event Sub-Domain,5.2,"DEFINITION: Specifies the degree or extent of the consequence suffered by the subject. EXAMPLE(S): resulted in death required hospitalization was life threatening OTHER NAME(S): NOTE(S): While often not reported as a separate observation seriousness codes are technically the result of assessing the subject and the adverse event they are experiencing. The association to the AdverseEvent should theoretically be derivable via the following path: AdverseEventSeriousness &gt; PerformedObservation [assess seriousness] &gt; AssessedResultRelationship &gt; AdverseEvent. However since this information is often not available AdverseEventSeriousness has been modeled as both a subclass of PerformedClinicalInterpretation and as having an association directly to the AdverseEvent class."
CausalAssessment,Adverse Event Sub-Domain,5.2,"DEFINITION: The judgment of relatedness between an adverse event and an activity or observation result. EXAMPLE(S): The observation result of diabetes is assessed to have caused the AE. The activity of administering a concomitant medication is assessed to have caused the AE. The activity of administering the study drug is assessed to have caused the AE. OTHER NAME(S): NOTE(S):"
EvaluatedActivityRelationship,Adverse Event Sub-Domain,5.2,"DEFINITION: Specifies the link between an adverse event causal assessment and the activity evaluated as a possible cause. EXAMPLE(S): Administration of cold medicine may be evaluated as a cause of an adverse event. OTHER NAME(S): NOTE(S):"
EvaluatedResultRelationship,Adverse Event Sub-Domain,5.2,"DEFINITION: Specifies the link between an adverse event causal assessment and the observation result evaluated as a possible cause. EXAMPLE(S): A diagnosis of diabetes may be evaluated as a cause of an adverse event. OTHER NAME(S): NOTE(S):"
PerformedProductInvestigation,Adverse Event Sub-Domain,5.2,"DEFINITION: The completed process of evaluating a product. EXAMPLE(S): OTHER NAME(S): NOTE(S): The evaluation process may occur either before or after the product is returned to the manufacturer or reprocessor."
PerformedProductInvestigationResult,Adverse Event Sub-Domain,5.2,"DEFINITION: Information captured while conducting research on a product. EXAMPLE(S): An electrical problem in a device. OTHER NAME(S): NOTE(S):"
PerformedProductProblemDiscovery,Adverse Event Sub-Domain,5.2,"DEFINITION: The recognition of a product defect that needs to be reported. EXAMPLE(S): An imaging device is discovered to be leaking radiation. This was discovered on Jan. 10th but it suspected to have been leaking for a week. This element maps to the ProductDefectDiscovery class in ICSR and maps to the MedWatch Form 3500A section B1 (Product problem checkbox). OTHER NAME(S): NOTE(S): The BRIDG SCC has a GForge Tracker Issue (#31893) indicating a need to validate the requirement that every PerformedProductProblemDiscovery be described by a SafetyReportVersion."
